Name	Total Score	Steric	Desolvation	Acc	Donor	Metal	Smiles
Clu 3, Mem 49	-77.218582	-85.274918	12.694870	-2.098887	-2.539640	0.000000	CC(=O)Nc1cc(ccc1N)C(Cc2ccc(c(c2)O)OC)O
Clu 51, Mem 11	-77.186615	-81.304153	9.759689	-5.150454	-0.491704	0.000000	CC(C)(C)c1c(cc(cc1O)C(Cc2ccc(c(c2)O)OC)O)O
Clu 48, Mem 10	-77.162704	-86.073471	13.608099	-2.856014	-1.841330	0.000000	Cc1cc(c(c(c1NC(=O)C)O)C)C(Cc2ccc(c(c2)O)OC)O
Clu 46, Mem 4	-77.158546	-79.768112	11.319695	-1.368384	-7.341738	0.000000	COc1ccc(cc1O)CC(c2cc(c(c(c2)Cl)O)CO)O
Clu 57, Mem 3	-77.152977	-77.098572	9.227566	-3.834691	-5.447278	0.000000	CCCNc1c(cc(c(c1C)C)C(Cc2ccc(c(c2)O)OC)O)C
Clu 51, Mem 13	-77.151817	-80.324562	10.266462	-2.171076	-4.922649	0.000000	CC(C)(C)c1c(cc(cc1O)C(Cc2ccc(c(c2)O)OC)O)N
Clu 56, Mem 4	-77.112488	-76.680580	15.137940	-6.379318	-9.190527	0.000000	CCNc1c(cc(cc1C(=O)NO)C(Cc2ccc(c(c2)O)OC)O)C
Clu 6, Mem 6	-77.107346	-68.172485	9.811287	-6.228865	-12.517287	0.000000	CNc1ccc(cc1C(F)(F)F)C(Cc2ccc(c(c2)O)OC)O
Clu 68, Mem 4	-77.090820	-81.636032	11.237270	-4.654489	-2.037573	0.000000	CCOc1cc(c(c(c1O)O)C)C(Cc2ccc(c(c2)O)OC)O
Clu 15, Mem 4	-77.088150	-88.727448	16.782217	-5.057161	-0.085757	0.000000	Cc1c[nH]c2c1cc(cc2NC=O)C(Cc3ccc(c(c3)O)OC)O
Clu 11, Mem 6	-77.087860	-80.063087	9.032765	-2.516704	-3.540831	0.000000	Cc1cc(c2c(c1C)NCC2C)C(Cc3ccc(c(c3)O)OC)O
Clu 3, Mem 15	-77.067932	-78.741089	10.038815	-2.428852	-5.936800	0.000000	CNc1cc(cc(c1)F)C(Cc2ccc(c(c2)O)OC)O
Clu 3, Mem 57	-77.057922	-84.425713	11.874193	-1.851067	-2.655339	0.000000	CC(C)c1cc(cc(c1O)N)C(Cc2ccc(c(c2)O)OC)O
Head 46, Size=31	-77.039787	-81.730965	11.688259	-2.290663	-4.706424	0.000000	CNc1cc(cc(c1)C(Cc2ccc(c(c2)O)OC)O)CO
Clu 81, Mem 8	-77.028534	-84.799835	13.914621	-2.276280	-3.867034	0.000000	Cc1cc(cc(c1NC=O)C[NH+](C)C)C(Cc2ccc(c(c2)O)OC)O
