Name	Total Score	Steric	Desolvation	Acc	Donor	Metal	Smiles
Head 27, Size=11	-94.600555	-94.599762	6.002897	-4.501051	-1.502640	0.000000	Cc1cc(cc2c1[nH+]ccc2)C(Cc3ccc(c(c3)O)OC)O
Clu 40, Mem 5	-94.562332	-94.990829	10.300646	-3.313042	-6.559103	0.000000	Cc1cc(cc2c1NCCC2)C(Cc3ccc(c(c3)O)OC)O
Clu 23, Mem 4	-94.437363	-89.346687	10.039276	-1.340699	-13.789248	0.000000	Cc1c[nH]c2c1cc(cc2F)C(Cc3ccc(c(c3)O)OC)O
Clu 1, Mem 9	-94.372971	-84.507088	13.090816	-7.159063	-15.797640	0.000000	Cc1c[nH]c2c1c(cc(c2C)O)C(Cc3ccc(c(c3)O)OC)O
Clu 7, Mem 11	-94.236649	-95.764412	15.472458	-1.966890	-11.977809	0.000000	CCNc1cc(c(cc1NC=O)Cl)C(Cc2ccc(c(c2)O)OC)O
Clu 68, Mem 21	-94.230377	-89.431915	15.496753	-8.972728	-11.322487	0.000000	COc1ccc(cc1O)CC(c2ccc(c(c2)NC(=O)OC)O)O
Clu 40, Mem 4	-94.227913	-94.358803	10.405494	-3.094792	-7.179814	0.000000	COc1ccc(cc1O)CC(c2cc3c(c(c2)Cl)NCCC3)O
Clu 12, Mem 13	-94.129173	-95.639778	8.584463	-2.864763	-4.209095	0.000000	Cc1cc(c(c2c1NCC2)C)C(Cc3ccc(c(c3)O)OC)O
Clu 65, Mem 4	-94.064781	-99.031029	8.387714	-3.046219	-0.375253	0.000000	CCNc1c(cc(cc1Cl)C(Cc2ccc(c(c2)O)OC)O)C(C)(C)C
Clu 40, Mem 3	-94.048546	-100.254494	15.987996	-3.156498	-6.625553	0.000000	Cc1cc(cc2c1NCC(=O)N2)C(Cc3ccc(c(c3)O)OC)O
Head 17, Size=11	-93.988464	-94.516441	10.667948	-7.555152	-2.584813	0.000000	CNc1cc[nH+]c2c1cc(cc2Cl)C(Cc3ccc(c(c3)O)OC)O
Clu 52, Mem 4	-93.980820	-96.937302	17.195654	-2.962766	-11.276409	0.000000	COc1ccc(cc1O)CC(c2cc(c(c(c2)NC(=O)OC)O)N)O
Clu 12, Mem 28	-93.875702	-93.970551	9.048070	-1.732234	-7.220988	0.000000	Cc1cc(cc2c1NC(C2)C)C(Cc3ccc(c(c3)O)OC)O
Clu 47, Mem 5	-93.854286	-89.466881	11.820855	-8.123144	-8.085119	0.000000	CC(C)c1c(cc(cc1N)C(Cc2ccc(c(c2)O)OC)O)N
Clu 40, Mem 13	-93.805252	-87.496002	13.604230	-9.936327	-9.977160	0.000000	COc1ccc(cc1O)CC(c2ccc3c(c2)C(CCN3)O)O
Clu 23, Mem 9	-93.802345	-89.166237	9.986614	-0.931057	-13.691675	0.000000	Cc1cc(cc2c1[nH]cc2)C(Cc3ccc(c(c3)O)OC)O
Clu 1, Mem 8	-93.692131	-83.198296	13.020761	-7.340921	-16.173676	0.000000	Cc1c[nH]c2c1c(cc(c2F)O)C(Cc3ccc(c(c3)O)OC)O
Clu 48, Mem 28	-93.623322	-94.596558	14.161968	-3.548187	-9.640539	0.000000	Cc1cc(c(cc1C(Cc2ccc(c(c2)O)OC)O)O)NC=O
Head 15, Size=31	-93.569496	-95.062340	15.824236	-0.505441	-13.825948	0.000000	Cc1c2cc(cc(c2n[nH]1)NC)C(Cc3ccc(c(c3)O)OC)O
Clu 12, Mem 10	-93.508675	-91.127907	9.807377	-5.023602	-7.164540	0.000000	COc1ccc(cc1O)CC(c2cc3c(c(c2)F)NCC3)O
Clu 12, Mem 2	-93.349564	-90.242065	12.597021	-4.724591	-10.979932	0.000000	COc1ccc(cc1O)CC(c2cc3c(c(c2)N)NCC3)O
Clu 15, Mem 26	-93.262604	-93.653656	11.320564	-3.899392	-7.030115	0.000000	Cc1cc(cc2c1[nH]c(c2C)C)C(Cc3ccc(c(c3)O)OC)O
Clu 8, Mem 5	-93.258667	-103.279716	13.744686	-1.730086	-1.993561	0.000000	CCNc1cc(cc(c1)NC(=O)C)C(Cc2ccc(c(c2)O)OC)O
Clu 28, Mem 8	-93.201012	-93.637703	13.135660	-6.864429	-5.834533	0.000000	CCNc1cc([nH+]c2c1c(n[nH]2)C)C(Cc3ccc(c(c3)O)OC)O
Head 57, Size=4	-93.177567	-93.711853	7.628858	-0.547655	-6.546906	0.000000	Cc1cc(c(c(c1NCCCCl)C)C)C(Cc2ccc(c(c2)O)OC)O
Clu 30, Mem 4	-93.080795	-87.471405	13.380808	-5.021666	-13.968534	0.000000	COc1ccc(cc1O)CC(c2ccc3c(c2)c(c[nH]3)O)O
Clu 1, Mem 5	-93.058044	-80.227974	16.773912	-12.233194	-17.370781	0.000000	CC[n+]1c(cc(c2c1[nH]nc2)C(Cc3ccc(c(c3)O)OC)O)N
Clu 15, Mem 18	-93.045105	-84.151520	12.088622	-5.353825	-15.628372	0.000000	Cc1c[nH]c2c1cc(c(c2C)C)C(Cc3ccc(c(c3)O)OC)O
Clu 17, Mem 4	-93.006996	-95.196312	12.522022	-7.512941	-2.819751	0.000000	CNc1cc[nH+]c2c1cc(cc2N)C(Cc3ccc(c(c3)O)OC)O
Clu 40, Mem 17	-92.992889	-95.997696	8.716465	-2.971857	-2.739806	0.000000	Cc1cc(cc2c1NC(CC2)C)C(Cc3ccc(c(c3)O)OC)O
Head 48, Size=30	-92.936920	-94.190331	12.659169	-4.670157	-6.735598	0.000000	CCNc1cc(c(cc1O)C(Cc2ccc(c(c2)O)OC)O)C
Clu 7, Mem 5	-92.890884	-96.453751	14.703476	-0.580847	-10.559766	0.000000	CCNc1ccc(cc1NC(=O)C)C(Cc2ccc(c(c2)O)OC)O
Clu 28, Mem 5	-92.871521	-94.656677	16.013916	-0.279107	-13.949642	0.000000	CCNc1cc([nH+]c2c1n[nH]c2C)C(Cc3ccc(c(c3)O)OC)O
Clu 24, Mem 3	-92.805229	-79.174599	15.598177	-15.402866	-13.825929	0.000000	CNc1c(cc(c2c1nccc2)C(Cc3ccc(c(c3)O)OC)O)O
Clu 31, Mem 3	-92.746086	-94.865356	7.878094	-0.206903	-5.551922	0.000000	Cc1ccc2c(cc([nH+]c2c1)NC)C(Cc3ccc(c(c3)O)OC)O
Clu 81, Mem 3	-92.709999	-96.085663	17.274290	-3.055248	-10.843373	0.000000	CC(=O)Nc1cc(cc(c1OC)N)C(Cc2ccc(c(c2)O)OC)O
Clu 79, Mem 7	-92.657059	-88.558807	12.372353	-6.466409	-10.004191	0.000000	Cc1c(cc(c(c1N)C(C)(C)C)N)C(Cc2ccc(c(c2)O)OC)O
Clu 58, Mem 4	-92.628204	-93.331963	17.599077	-3.146054	-13.749271	0.000000	COc1ccc(cc1O)CC(c2ccc(c(c2)NC=O)NC=O)O
Clu 34, Mem 3	-92.611214	-91.218216	11.610307	-1.122386	-11.880913	0.000000	Cc1c[nH]c2c1c(cc(c2)C(Cc3ccc(c(c3)O)OC)O)Cl
Clu 1, Mem 10	-92.608025	-87.494682	12.855379	-3.324374	-14.644350	0.000000	COc1ccc(cc1O)CC(c2ccc(c3c2cc[nH]3)O)O
Clu 57, Mem 2	-92.547951	-95.470772	8.054312	-3.859185	-1.272306	0.000000	Cc1c(c(c(c(c1C(Cc2ccc(c(c2)O)OC)O)C)C)NCCCCl)C
Head 76, Size=2	-92.432343	-97.283493	14.967576	-1.828289	-8.288138	0.000000	Cc1c(c(c(cc1C(Cc2ccc(c(c2)O)OC)O)NC(=O)OC)O)C
Head 22, Size=2	-92.394249	-98.808067	9.788464	-0.001844	-3.372804	0.000000	COc1ccc(cc1O)CC(c2cc3ccc[nH+]c3c(c2)NC=O)O
Clu 52, Mem 3	-92.378433	-91.256027	15.883961	-3.817442	-13.188928	0.000000	CCNc1ccc(cc1NC(=O)CCl)C(Cc2ccc(c(c2)O)OC)O
Clu 52, Mem 9	-92.367348	-94.812744	9.715733	-1.249248	-6.021091	0.000000	CNc1ccc(cc1CC(F)(F)F)C(Cc2ccc(c(c2)O)OC)O
Head 18, Size=4	-92.346046	-88.820930	15.718576	-6.950626	-12.293064	0.000000	COc1ccc(cc1O)CC(c2cc3c(c(c2)NC=O)NCC3)O
Clu 12, Mem 33	-92.315430	-95.554626	8.328048	-0.225314	-4.863535	0.000000	Cc1cc(c(c2c1NC(C2)C)C)C(Cc3ccc(c(c3)O)OC)O
Head 21, Size=5	-92.299782	-91.969246	9.373667	-0.422263	-9.281940	0.000000	Cc1cc2c(c(c([nH+]c2[nH]1)C)C)C(Cc3ccc(c(c3)O)OC)O
Head 55, Size=10	-92.270348	-100.408348	11.068026	-0.033726	-2.896299	0.000000	CCNc1cc(cc(c1O)C(C)(C)C)C(Cc2ccc(c(c2)O)OC)O
Head 13, Size=9	-92.264473	-86.166039	11.324971	-3.987036	-13.436359	0.000000	COc1ccc(cc1O)CC(c2cc[nH+]c3c2cc[nH]3)O
Head 32, Size=1	-92.188805	-101.703064	14.789628	-0.255967	-5.019392	0.000000	CNc1cc(c2c(c1)NC(=O)CC2)C(Cc3ccc(c(c3)O)OC)O
Clu 7, Mem 24	-92.168144	-95.761559	8.207056	-3.042866	-1.570770	0.000000	CCNc1ccc(cc1CC(F)(F)F)C(Cc2ccc(c(c2)O)OC)O
Clu 12, Mem 17	-92.128700	-98.298424	10.386112	-2.056320	-2.160065	0.000000	COc1ccc(cc1O)CC(c2cc3c(c(c2)Cl)NCC3O)O
Clu 15, Mem 19	-92.127075	-83.759003	12.096825	-5.145777	-15.319118	0.000000	Cc1c[nH]c2c1cc(c(c2C)Cl)C(Cc3ccc(c(c3)O)OC)O
Clu 48, Mem 6	-92.037651	-91.799538	10.705871	-3.015473	-7.928508	0.000000	CCNc1ccc(c(c1C)C)C(Cc2ccc(c(c2)O)OC)O
Clu 15, Mem 9	-92.018486	-98.466484	12.282991	-3.252095	-2.582907	0.000000	CCNc1cc(cc2c1n[nH]c2C)C(Cc3ccc(c(c3)O)OC)O
Clu 11, Mem 5	-91.938301	-94.973175	10.685306	-1.909449	-5.740982	0.000000	Cc1c(c(c2c(c1C)NCC2)C(Cc3ccc(c(c3)O)OC)O)C
Clu 7, Mem 18	-91.934334	-98.376167	14.816101	-5.381046	-2.993223	0.000000	CCNc1cc(ccc1C(=O)NC)C(Cc2ccc(c(c2)O)OC)O
Clu 40, Mem 10	-91.905014	-91.220276	11.957538	-3.560692	-9.081580	0.000000	[H]N=C1CCNc2c1cc(cc2)C(Cc3ccc(c(c3)O)OC)O
Clu 24, Mem 4	-91.872383	-94.313538	12.201122	-4.043340	-5.716624	0.000000	CNc1c2cccnc2c(cc1O)C(Cc3ccc(c(c3)O)OC)O
Clu 28, Mem 2	-91.864235	-87.068726	12.019039	-6.006263	-10.808290	0.000000	CCNc1cc([nH+]c2c1cc([nH]2)C)C(Cc3ccc(c(c3)O)OC)O
Clu 2, Mem 15	-91.816727	-90.055672	9.212036	-3.123247	-7.849843	0.000000	Cc1cc(c(cc1NC)C)C(Cc2ccc(c(c2)O)OC)O
Clu 15, Mem 10	-91.800797	-99.609993	13.000051	-2.805495	-2.385358	0.000000	CCNc1cc(cc2c1n[nH]c2Cl)C(Cc3ccc(c(c3)O)OC)O
Clu 12, Mem 3	-91.773453	-91.350891	11.372525	-2.915679	-8.879413	0.000000	Cc1c(cc(c2c1CCN2)N)C(Cc3ccc(c(c3)O)OC)O
Clu 68, Mem 25	-91.764961	-98.070488	10.198155	-3.289989	-0.602647	0.000000	CCCNc1cc([nH+]c(c1C)O)C(Cc2ccc(c(c2)O)OC)O
